 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
54.408,3.66526
54.41,3.73268
54.412,3.78537
54.414,3.81792
54.416,3.82412
54.418,3.80397
54.42,3.75748
54.422,3.69006
54.424,3.60792
54.426,3.52036
54.428,3.43435
54.43,3.35763
54.432,3.29564
54.434,3.25069
54.436,3.2228
54.438,3.20885
54.44,3.20653
54.442,3.2104
54.444,3.21582
54.446,3.21892
54.448,3.2166
54.45,3.20653
54.452,3.19025
54.454,3.16701
54.456,3.13756
54.458,3.10501
54.46,3.07092
54.462,3.03837
54.464,3.00893
54.466,2.98723
54.468,2.97561
54.47,2.97793
54.472,2.99808
54.474,3.03682
54.476,3.09572
54.478,3.17398
54.48,3.26929
54.482,3.37468
54.484,3.48394
54.486,3.58932
54.488,3.68154
54.49,3.75438
54.492,3.8001
54.494,3.81714
54.496,3.80475
54.498,3.76678
54.5,3.70866
54.502,3.63659
54.504,3.55988
54.506,3.48471
54.508,3.41652
54.51,3.35918
54.512,3.31269
54.514,3.27782
54.516,3.24992
54.518,3.22745
54.52,3.20653
54.522,3.1856
54.524,3.16391
54.526,3.14298
54.528,3.12594
54.53,3.11509
54.532,3.11354
54.534,3.12516
54.536,3.15073
54.538,3.19025
54.54,3.2414
54.542,3.30029
54.544,3.36383
54.546,3.42737
54.548,3.48471
54.55,3.53353
54.552,3.57228
54.554,3.59862
54.556,3.6149
54.558,3.62187
54.56,3.62342
54.562,3.62187
54.564,3.6211
54.566,3.62265
54.568,3.63039
54.57,3.64357
54.572,3.66371
54.574,3.68929
54.576,3.71796
54.578,3.74818
54.58,3.77608
54.582,3.79932
54.584,3.81559
54.586,3.82179
54.588,3.81869
54.59,3.80475
54.592,3.78227
54.594,3.75438
54.596,3.72338
54.598,3.69316
54.6,3.66759
54.602,3.64899
54.604,3.63814
54.606,3.63504
54.608,3.63892
54.61,3.64434
54.612,3.64977
54.614,3.64977
54.616,3.64124
54.618,3.62342
54.62,3.59552
54.622,3.5591
54.624,3.51803
54.626,3.47619
54.628,3.43977
54.63,3.4111
54.632,3.39328
54.634,3.38863
54.636,3.39483
54.638,3.40955
54.64,3.42815
54.642,3.44597
54.644,3.45914
54.646,3.46379
54.648,3.45992
54.65,3.44674
54.652,3.42815
54.654,3.408
54.656,3.3894
54.658,3.37778
54.66,3.37623
54.662,3.38475
54.664,3.40412
54.666,3.43125
54.668,3.46224
54.67,3.49014
54.672,3.51106
54.674,3.51881
54.676,3.50951
54.678,3.48161
54.68,3.43512
54.682,3.3708
54.684,3.29331
54.686,3.2073
54.688,3.11896
54.69,3.03372
54.692,2.95856
54.694,2.89889
54.696,2.8586
54.698,2.84232
54.7,2.85085
54.702,2.88417
54.704,2.94074
54.706,3.01513
54.708,3.10346
54.71,3.19955
54.712,3.29486
54.714,3.3832
54.716,3.45914
54.718,3.51726
54.72,3.556
54.722,3.57305
54.724,3.5715
54.726,3.55368
54.728,3.52501
54.73,3.48936
54.732,3.45139
54.734,3.41575
54.736,3.3832
54.738,3.35608
54.74,3.33283
54.742,3.31269
54.744,3.29331
54.746,3.27239
54.748,3.24914
54.75,3.22202
54.752,3.19335
54.754,3.16313
54.756,3.13369
54.758,3.10889
54.76,3.08952
54.762,3.07712
54.764,3.07402
54.766,3.07867
54.768,3.09107
54.77,3.11044
54.772,3.13523
54.774,3.16391
54.776,3.19645
54.778,3.2321
54.78,3.27084
54.782,3.31191
54.784,3.35531
54.786,3.40102
54.788,3.44752
54.79,3.49324
54.792,3.53663
54.794,3.57538
54.796,3.60637
54.798,3.62807
54.8,3.63969
54.802,3.63969
54.804,3.62884
54.806,3.60792
54.808,3.5777
54.81,3.54128
54.812,3.50021
54.814,3.45682
54.816,3.41342
54.818,3.37235
54.82,3.33438
54.822,3.30106
54.824,3.27239
54.826,3.24914
54.828,3.22977
54.83,3.21505
54.832,3.20188
54.834,3.19025
54.836,3.17863
54.838,3.16623
54.84,3.15383
54.842,3.14143
54.844,3.13136
54.846,3.12594
54.848,3.12749
54.85,3.13833
54.852,3.16003
54.854,3.19413
54.856,3.23752
54.858,3.29021
54.86,3.34601
54.862,3.40025
54.864,3.44907
54.866,3.48704
54.868,3.51029
54.87,3.51881
54.872,3.51261
54.874,3.49479
54.876,3.46922
54.878,3.43977
54.88,3.41187
54.882,3.38785
54.884,3.36848
54.886,3.35453
54.888,3.34291
54.89,3.33051
54.892,3.31346
54.894,3.28789
54.896,3.25379
54.898,3.21195
54.9,3.16468
54.902,3.11664
54.904,3.07557
54.906,3.04612
54.908,3.03372
54.91,3.04147
54.912,3.07014
54.914,3.11664
54.916,3.17708
54.918,3.24527
54.92,3.31656
54.922,3.38475
54.924,3.44752
54.926,3.50409
54.928,3.55445
54.93,3.60172
54.932,3.64899
54.934,3.69936
54.936,3.7536
54.938,3.81095
54.94,3.86906
54.942,3.92176
54.944,3.96438
54.946,3.98917
54.948,3.99227
54.95,3.97135
54.952,3.92718
54.954,3.86364
54.956,3.78615
54.958,3.70401
54.96,3.6242
54.962,3.556
54.964,3.50254
54.966,3.46844
54.968,3.45217
54.97,3.45062
54.972,3.45992
54.974,3.47387
54.976,3.48781
54.978,3.49711
54.98,3.50021
54.982,3.49711
54.984,3.49014
54.986,3.48161
54.988,3.47696
54.99,3.47774
54.992,3.48859
54.994,3.50951
54.996,3.54206
54.998,3.5839
55,3.63427
55.002,3.69084
55.004,3.7505
55.006,3.8125
55.008,3.87294
55.01,3.93028
55.012,3.98297
55.014,4.02792
55.016,4.06356
55.018,4.08681
55.02,4.09533
55.022,4.08836
55.024,4.06589
55.026,4.02947
55.028,3.98297
55.03,3.9295
55.032,3.87526
55.034,3.82489
55.036,3.78227
55.038,3.7505
55.04,3.72958
55.042,3.71718
55.044,3.71021
55.046,3.70323
55.048,3.69239
55.05,3.67146
55.052,3.64047
55.054,3.59707
55.056,3.54361
55.058,3.48626
55.06,3.42815
55.062,3.377
55.064,3.33748
55.066,3.31424
55.068,3.30804
55.07,3.31889
55.072,3.34523
55.074,3.3832
55.076,3.42892
55.078,3.47929
55.08,3.53276
55.082,3.58623
55.084,3.63969
55.086,3.69394
55.088,3.74818
55.09,3.80087
55.092,3.85124
55.094,3.89386
55.096,3.92563
55.098,3.94113
55.1,3.93648
55.102,3.90703
55.104,3.85434
55.106,3.77917
55.108,3.68774
55.11,3.58623
55.112,3.48471
55.114,3.39095
55.116,3.31191
55.118,3.25379
55.12,3.21737
55.122,3.20188
55.124,3.20343
55.126,3.21582
55.128,3.2321
55.13,3.24682
55.132,3.25457
55.134,3.25457
55.136,3.24605
55.138,3.23365
55.14,3.22047
55.142,3.2135
55.144,3.2166
55.146,3.23365
55.148,3.26542
55.15,3.31191
55.152,3.3708
55.154,3.43589
55.156,3.50254
55.158,3.5653
55.16,3.61955
55.162,3.66062
55.164,3.68696
55.166,3.69781
55.168,3.69239
55.17,3.67379
55.172,3.64279
55.174,3.60172
55.176,3.55368
55.178,3.50021
55.18,3.44287
55.182,3.38475
55.184,3.32586
55.186,3.26929
55.188,3.21582
55.19,3.16623
55.192,3.12129
55.194,3.08177
55.196,3.04767
55.198,3.01823
55.2,2.99575
55.202,2.98026
55.204,2.97328
55.206,2.97638
55.208,2.99265
55.21,3.02442
55.212,3.07324
55.214,3.13988
55.216,3.2228
55.218,3.32044
55.22,3.42582
55.222,3.53353
55.224,3.63582
55.226,3.72416
55.228,3.79312
55.23,3.83574
55.232,3.85124
55.234,3.83807
55.236,3.80087
55.238,3.74508
55.24,3.67611
55.242,3.60172
55.244,3.52811
55.246,3.46147
55.248,3.40412
55.25,3.35763
55.252,3.32044
55.254,3.29254
55.256,3.27007
55.258,3.25069
55.26,3.23287
55.262,3.21505
55.264,3.19723
55.266,3.17863
55.268,3.16081
55.27,3.14298
55.272,3.12594
55.274,3.10966
55.276,3.09339
55.278,3.07789
55.28,3.06317
55.282,3.05155
55.284,3.04535
55.286,3.04845
55.288,3.06317
55.29,3.09417
55.292,3.14298
55.294,3.20885
55.296,3.28866
55.298,3.37855
55.3,3.46922
55.302,3.55213
55.304,3.61955
55.306,3.66371
55.308,3.67844
55.31,3.66371
55.312,3.6211
55.314,3.55445
55.316,3.47309
55.318,3.38475
55.32,3.29796
55.322,3.22047
55.324,3.15538
55.326,3.10579
55.328,3.06937
55.33,3.04302
55.332,3.02442
55.334,3.00815
55.336,2.99265
55.338,2.97716
55.34,2.96398
55.342,2.95546
55.344,2.95623
55.346,2.97018
55.348,2.99885
55.35,3.04457
55.352,3.10346
55.354,3.17398
55.356,3.24914
55.358,3.32353
55.36,3.3925
55.362,3.45217
55.364,3.50099
55.366,3.53973
55.368,3.57073
55.37,3.59707
55.372,3.62265
55.374,3.64977
55.376,3.67766
55.378,3.70401
55.38,3.72493
55.382,3.73501
55.384,3.72726
55.386,3.69781
55.388,3.64434
55.39,3.56763
55.392,3.47154
55.394,3.36151
55.396,3.2476
55.398,3.13756
55.4,3.03992
55.402,2.96166
55.404,2.90509
55.406,2.87254
55.408,2.86015
55.41,2.86635
55.412,2.88649
55.414,2.91671
55.416,2.95468
55.418,3.0004
55.42,3.05465
55.422,3.11974
55.424,3.19645
55.426,3.28634
55.428,3.38785
55.43,3.49634
55.432,3.60637
55.434,3.71098
55.436,3.8001
55.438,3.86829
55.44,3.90858
55.442,3.92021
55.444,3.90393
55.446,3.86364
55.448,3.80785
55.45,3.74353
55.452,3.67844
55.454,3.61877
55.456,3.56763
55.458,3.52578
55.46,3.49014
55.462,3.45682
55.464,3.42117
55.466,3.37778
55.468,3.32663
55.47,3.26852
55.472,3.20653
55.474,3.14763
55.476,3.09959
55.478,3.06859
55.48,3.06162
55.482,3.07867
55.484,3.11896
55.486,3.17708
55.488,3.24527
55.49,3.31346
55.492,3.37158
55.494,3.41342
55.496,3.43435
55.498,3.43435
55.5,3.4173
55.502,3.39095
55.504,3.36383
55.506,3.34446
55.508,3.34136
55.51,3.35686
55.512,3.39173
55.514,3.44054
55.516,3.49634
55.518,3.54903
55.52,3.58855
55.522,3.6056
55.524,3.59397
55.526,3.55135
55.528,3.48084
55.53,3.3863
55.532,3.27704
55.534,3.16236
55.536,3.05232
55.538,2.95468
55.54,2.87487
55.542,2.81753
55.544,2.78111
55.546,2.76561
55.548,2.76793
55.55,2.78498
55.552,2.81443
55.554,2.85395
55.556,2.90432
55.558,2.96398
55.56,3.03372
55.562,3.11431
55.564,3.20265
55.566,3.29641
55.568,3.3925
55.57,3.48316
55.572,3.56298
55.574,3.62652
55.576,3.66759
55.578,3.68386
55.58,3.67456
55.582,3.64124
55.584,3.587
55.586,3.51881
55.588,3.44209
55.59,3.36383
55.592,3.28944
55.594,3.22202
55.596,3.16468
55.598,3.11664
55.6,3.07712
55.602,3.0438
55.604,3.01358
55.606,2.98336
55.608,2.95313
55.61,2.92059
55.612,2.88727
55.614,2.8555
55.616,2.82605
55.618,2.80358
55.62,2.79041
55.622,2.78808
55.624,2.79893
55.626,2.82218
55.628,2.85937
55.63,2.90742
55.632,2.96631
55.634,3.03217
55.636,3.10346
55.638,3.17785
55.64,3.25147
55.642,3.32121
55.644,3.38553
55.646,3.44054
55.648,3.48471
55.65,3.51571
55.652,3.53043
55.654,3.52966
55.656,3.51261
55.658,3.48006
55.66,3.43357
55.662,3.37545
55.664,3.31036
55.666,3.23985
55.668,3.16778
55.67,3.09804
55.672,3.03295
55.674,2.97406
55.676,2.92369
55.678,2.88107
55.68,2.84852
55.682,2.82528
55.684,2.8121
55.686,2.80978
55.688,2.81908
55.69,2.84
55.692,2.87332
55.694,2.91904
55.696,2.97716
55.698,3.04535
55.7,3.12129
55.702,3.20188
55.704,3.28324
55.706,3.36151
55.708,3.43125
55.71,3.48936
55.712,3.53353
55.714,3.56065
55.716,3.57073
55.718,3.56298
55.72,3.53973
55.722,3.50331
55.724,3.45372
55.726,3.39638
55.728,3.33128
55.73,3.26154
55.732,3.1887
55.734,3.11509
55.736,3.04225
55.738,2.97096
55.74,2.90432
55.742,2.8431
55.744,2.79041
55.746,2.74779
55.748,2.71679
55.75,2.69897
55.752,2.69432
55.754,2.70284
55.756,2.72376
55.758,2.75554
55.76,2.79505
55.762,2.83922
55.764,2.88572
55.766,2.93221
55.768,2.97483
55.77,3.0128
55.772,3.0438
55.774,3.06704
55.776,3.08254
55.778,3.08952
55.78,3.08952
55.782,3.08177
55.784,3.06782
55.786,3.04767
55.788,3.02287
55.79,2.9942
55.792,2.96321
55.794,2.93066
55.796,2.89734
55.798,2.8648
55.8,2.8338
55.802,2.80513
55.804,2.77801
55.806,2.75399
55.808,2.73151
55.81,2.70982
55.812,2.69044
55.814,2.67185
55.816,2.6548
55.818,2.64085
55.82,2.63
55.822,2.62458
55.824,2.62535
55.826,2.63388
55.828,2.65092
55.83,2.6765
55.832,2.70982
55.834,2.74856
55.836,2.79196
55.838,2.83535
55.84,2.87642
55.842,2.91361
55.844,2.94229
55.846,2.96321
55.848,2.97328
55.85,2.97406
55.852,2.96553
55.854,2.94926
55.856,2.92601
55.858,2.89812
55.86,2.86635
55.862,2.83225
55.864,2.79738
55.866,2.76096
55.868,2.72454
55.87,2.68889
55.872,2.6548
55.874,2.6238
55.876,2.59746
55.878,2.57576
55.88,2.56104
55.882,2.55484
55.884,2.55639
55.886,2.56569
55.888,2.58196
55.89,2.60288
55.892,2.62845
55.894,2.65402
55.896,2.6796
55.898,2.70284
55.9,2.72299
55.902,2.74004
55.904,2.75554
55.906,2.77026
55.908,2.78731
55.91,2.80745
55.912,2.83225
55.914,2.86325
55.916,2.89967
55.918,2.93919
55.92,2.97948
55.922,3.01513
55.924,3.04302
55.926,3.05852
55.928,3.05697
55.93,3.03527
55.932,2.9942
55.934,2.93376
55.936,2.85782
55.938,2.76948
55.94,2.6765
55.942,2.58583
55.944,2.50369
55.946,2.4355
55.948,2.38746
55.95,2.36189
55.952,2.35879
55.954,2.37661
55.956,2.41226
55.958,2.46107
55.96,2.51764
55.962,2.57731
55.964,2.63465
55.966,2.68812
55.968,2.73461
55.97,2.77568
55.972,2.81288
55.974,2.8493
55.976,2.88727
55.978,2.92911
55.98,2.97638
55.982,3.02907
55.984,3.08487
55.986,3.14066
55.988,3.1918
55.99,3.23287
55.992,3.25844
55.994,3.26464
55.996,3.25069
55.998,3.21505
56,3.16158
56.002,3.09494
56.004,3.02287
56.006,2.95158
56.008,2.89037
56.01,2.84387
56.012,2.81675
56.014,2.81133
56.016,2.82683
56.018,2.85937
56.02,2.90354
56.022,2.95236
56.024,2.99808
56.026,3.03605
56.028,3.06084
56.03,3.06859
56.032,3.06007
56.034,3.03605
56.036,2.99885
56.038,2.95236
56.04,2.89889
56.042,2.8431
56.044,2.78576
56.046,2.72764
56.048,2.66797
56.05,2.60598
56.052,2.54011
56.054,2.46805
56.056,2.38978
56.058,2.30454
56.06,2.21466
56.062,2.12167
56.064,2.02791
56.066,1.93879
56.068,1.8551
56.07,1.77994
56.072,1.7164
56.074,1.66293
56.076,1.62109
56.078,1.59009
56.08,1.56762
56.082,1.55367
56.084,1.5467
56.086,1.5467
56.088,1.55289
56.09,1.56529
56.092,1.58544
56.094,1.61179
56.096,1.64433
56.098,1.68308
56.1,1.72725
56.102,1.77452
56.104,1.82566
56.106,1.87758
56.108,1.93104
56.11,1.98529
56.112,2.04108
56.114,2.09765
56.116,2.15731
56.118,2.21931
56.12,2.2844
56.122,2.35336
56.124,2.42543
56.126,2.49904
56.128,2.57421
56.13,2.64937
56.132,2.72454
56.134,2.80048
56.136,2.87719
56.138,2.95623
56.14,3.03915
56.142,3.12826
56.144,3.22512
56.146,3.32896
56.148,3.44054
56.15,3.55755
56.152,3.67689
56.154,3.79622
56.156,3.91013
56.158,4.01397
56.16,4.10463
56.162,4.17825
56.164,4.23249
56.166,4.26581
56.168,4.27821
56.17,4.27046
56.172,4.24566
56.174,4.20459
56.176,4.1519
56.178,4.08836
56.18,4.01862
56.182,3.94268
56.184,3.86364
56.186,3.78227
56.188,3.69859
56.19,3.61335
56.192,3.52578
56.194,3.43667
56.196,3.34756
56.198,3.25767
56.2,3.17011
56.202,3.08797
56.204,3.01358
56.206,2.95081
56.208,2.90354
56.21,2.87409
56.212,2.86402
56.214,2.87332
56.216,2.89967
56.218,2.93996
56.22,2.98723
56.222,3.03527
56.224,3.07789
56.226,3.10889
56.228,3.12284
56.23,3.11896
56.232,3.09727
56.234,3.06007
56.236,3.01125
56.238,2.95778
56.24,2.90354
56.242,2.85472
56.244,2.81365
56.246,2.78033
56.248,2.75321
56.25,2.72996
56.252,2.70594
56.254,2.67727
56.256,2.64318
56.258,2.60133
56.26,2.55561
56.262,2.50912
56.264,2.46727
56.266,2.43705
56.268,2.4231
56.27,2.4293
56.272,2.45565
56.274,2.50214
56.276,2.56336
56.278,2.6331
56.28,2.70594
56.282,2.77491
56.284,2.8369
56.286,2.89037
56.288,2.93454
56.29,2.97328
56.292,3.01048
56.294,3.04845
56.296,3.09029
56.298,3.13601
56.3,3.1825
56.302,3.22512
56.304,3.25844
56.306,3.27549
56.308,3.27007
56.31,3.23985
56.312,3.18483
56.314,3.10889
56.316,3.019
56.318,2.92291
56.32,2.8307
56.322,2.75166
56.324,2.69199
56.326,2.65402
56.328,2.64008
56.33,2.64472
56.332,2.6641
56.334,2.69277
56.336,2.72454
56.338,2.75476
56.34,2.78343
56.342,2.80978
56.344,2.83612
56.346,2.86557
56.348,2.90199
56.35,2.94693
56.352,2.99963
56.354,3.06007
56.356,3.12206
56.358,3.1825
56.36,3.2352
56.362,3.27627
56.364,3.30106
56.366,3.30959
56.368,3.30184
56.37,3.27937
56.372,3.24605
56.374,3.20343
56.376,3.15461
56.378,3.09959
56.38,3.0407
56.382,2.97793
56.384,2.91051
56.386,2.84077
56.388,2.77181
56.39,2.70672
56.392,2.65092
56.394,2.61063
56.396,2.59048
56.398,2.59436
56.4,2.62225
56.402,2.67185
56.404,2.73849
56.406,2.81443
56.408,2.89114
56.41,2.96243
56.412,3.02132
56.414,3.06549
56.416,3.09572
56.418,3.11431
56.42,3.12749
56.422,3.14221
56.424,3.16236
56.426,3.19103
56.428,3.22745
56.43,3.26929
56.432,3.30726
56.434,3.33516
56.436,3.34523
56.438,3.32973
56.44,3.28789
56.442,3.22202
56.444,3.13678
56.446,3.0438
56.448,2.95236
56.45,2.87409
56.452,2.81908
56.454,2.79118
56.456,2.79273
56.458,2.81908
56.46,2.86402
56.462,2.91904
56.464,2.97483
56.466,3.02597
56.468,3.06782
56.47,3.09881
56.472,3.12206
56.474,3.14143
56.476,3.16081
56.478,3.1856
56.48,3.2166
56.482,3.25302
56.484,3.29021
56.486,3.32121
56.488,3.34058
56.49,3.33981
56.492,3.31579
56.494,3.26619
56.496,3.19413
56.498,3.10579
56.5,3.00893
56.502,2.91361
56.504,2.82838
56.506,2.76096
56.508,2.71602
56.51,2.69432
56.512,2.69509
56.514,2.71292
56.516,2.74391
56.518,2.78188
56.52,2.8214
56.522,2.86015
56.524,2.89424
56.526,2.92369
56.528,2.94693
56.53,2.96321
56.532,2.97328
56.534,2.97561
56.536,2.96786
56.538,2.95081
56.54,2.92291
56.542,2.88649
56.544,2.8431
56.546,2.79738
56.548,2.75476
56.55,2.71912
56.552,2.69664
56.554,2.68812
56.556,2.69587
56.558,2.71602
56.56,2.74624
56.562,2.77878
56.564,2.80978
56.566,2.83225
56.568,2.84465
56.57,2.8462
56.572,2.83845
56.574,2.82683
56.576,2.81598
56.578,2.8121
56.58,2.82063
56.582,2.8431
56.584,2.87952
56.586,2.92679
56.588,2.98103
56.59,3.03605
56.592,3.08642
56.594,3.12749
56.596,3.15848
56.598,3.17785
56.6,3.18948
56.602,3.19413
56.604,3.19645
56.606,3.198
56.608,3.20033
56.61,3.2011
56.612,3.19878
56.614,3.18793
56.616,3.16623
56.618,3.13136
56.62,3.08177
56.622,3.01978
56.624,2.95081
56.626,2.88029
56.628,2.81675
56.63,2.76638
56.632,2.73461
56.634,2.72376
56.636,2.73461
56.638,2.76406
56.64,2.80668
56.642,2.85782
56.644,2.91206
56.646,2.96553
56.648,3.01668
56.65,3.06472
56.652,3.11354
56.654,3.16546
56.656,3.2228
56.658,3.28711
56.66,3.35841
56.662,3.4328
56.664,3.50486
56.666,3.56763
56.668,3.6118
56.67,3.63272
56.672,3.62265
56.674,3.58158
56.676,3.50874
56.678,3.40955
56.68,3.28866
56.682,3.15616
56.684,3.01823
56.686,2.88417
56.688,2.75863
56.69,2.64705
56.692,2.55174
56.694,2.47425
56.696,2.41381
56.698,2.37041
56.7,2.34329
56.702,2.33244
56.704,2.33709
56.706,2.35724
56.708,2.39211
56.71,2.43938
56.712,2.49672
56.714,2.56181
56.716,2.63
56.718,2.69742
56.72,2.76018
56.722,2.81443
56.724,2.8586
56.726,2.89192
56.728,2.91516
56.73,2.92679
56.732,2.92989
56.734,2.92524
56.736,2.91129
56.738,2.88959
56.74,2.8586
56.742,2.81753
56.744,2.76716
56.746,2.70594
56.748,2.63775
56.75,2.56414
56.752,2.49052
56.754,2.42155
56.756,2.36344
56.758,2.32082
56.76,2.29602
56.762,2.29292
56.764,2.30997
56.766,2.34561
56.768,2.39676
56.77,2.45797
56.772,2.52539
56.774,2.59358
56.776,2.65945
56.778,2.71989
56.78,2.77258
56.782,2.81753
56.784,2.85395
56.786,2.88184
56.788,2.89967
56.79,2.90896
56.792,2.90664
56.794,2.89424
56.796,2.86945
56.798,2.8338
56.8,2.78731
56.802,2.73229
56.804,2.67185
56.806,2.60985
56.808,2.55019
56.81,2.49672
56.812,2.45333
56.814,2.42233
56.816,2.40528
56.818,2.40218
56.82,2.41303
56.822,2.43473
56.824,2.46495
56.826,2.50137
56.828,2.53934
56.83,2.57653
56.832,2.60985
56.834,2.63698
56.836,2.65635
56.838,2.66875
56.84,2.6734
56.842,2.67107
56.844,2.66487
56.846,2.65635
56.848,2.64627
56.85,2.63775
56.852,2.63
56.854,2.6238
56.856,2.61838
56.858,2.61063
56.86,2.59978
56.862,2.58273
56.864,2.55794
56.866,2.52462
56.868,2.48355
56.87,2.43783
56.872,2.39056
56.874,2.34716
56.876,2.31229
56.878,2.2906
56.88,2.2844
56.882,2.2968
56.884,2.32469
56.886,2.36654
56.888,2.41613
56.89,2.46882
56.892,2.51764
56.894,2.55871
56.896,2.58738
56.898,2.60366
56.9,2.60753
56.902,2.60288
56.904,2.59203
56.906,2.57963
56.908,2.56956
56.91,2.56181
56.912,2.55716
56.914,2.55406
56.916,2.54864
56.918,2.53779
56.92,2.51842
56.922,2.4882
56.924,2.44558
56.926,2.39366
56.928,2.33477
56.93,2.2751
56.932,2.21931
56.934,2.17436
56.936,2.14337
56.938,2.13174
56.94,2.13872
56.942,2.16506
56.944,2.20923
56.946,2.2658
56.948,2.33244
56.95,2.40528
56.952,2.48045
56.954,2.55561
56.956,2.62845
56.958,2.69742
56.96,2.76173
56.962,2.81908
56.964,2.86945
56.966,2.91051
56.968,2.93996
56.97,2.95778
56.972,2.96011
56.974,2.94848
56.976,2.92136
56.978,2.87952
56.98,2.82605
56.982,2.76251
56.984,2.69122
56.986,2.61605
56.988,2.54089
56.99,2.4665
56.992,2.39831
56.994,2.33632
56.996,2.28362
56.998,2.24333
57,2.21621
57.002,2.20303
57.004,2.20691
57.006,2.22628
57.008,2.26193
57.01,2.31229
57.012,2.37584
57.014,2.44868
57.016,2.52927
57.018,2.61218
57.02,2.69509
57.022,2.77568
57.024,2.85085
57.026,2.91904
57.028,2.97793
57.03,3.02752
57.032,3.06627
57.034,3.09184
57.036,3.10346
57.038,3.09804
57.04,3.07557
57.042,3.03527
57.044,2.97716
57.046,2.90277
57.048,2.8183
57.05,2.72686
57.052,2.6362
57.054,2.55406
57.056,2.48587
57.058,2.43783
57.06,2.41226
57.062,2.41148
57.064,2.43163
57.066,2.47115
57.068,2.52229
57.07,2.58041
57.072,2.64008
57.074,2.69664
57.076,2.74779
57.078,2.79273
57.08,2.83225
57.082,2.8679
57.084,2.90199
57.086,2.93531
57.088,2.96708
57.09,2.99575
57.092,3.01745
57.094,3.02752
57.096,3.0221
57.098,2.99808
57.1,2.95313
57.102,2.88959
57.104,2.8121
57.106,2.72764
57.108,2.64472
57.11,2.57343
57.112,2.52152
57.114,2.49594
57.116,2.49904
57.118,2.53081
57.12,2.58738
57.122,2.66255
57.124,2.74624
57.126,2.82993
57.128,2.90664
57.13,2.97018
57.132,3.01745
57.134,3.04845
57.136,3.06549
57.138,3.07169
57.14,3.07092
57.142,3.06782
57.144,3.06394
57.146,3.05775
57.148,3.04845
57.15,3.03217
57.152,3.00505
57.154,2.96398
57.156,2.90664
57.158,2.8338
57.16,2.74934
57.162,2.65945
57.164,2.57188
57.166,2.49517
57.168,2.4386
57.17,2.40838
57.172,2.40838
57.174,2.4386
57.176,2.49672
57.178,2.57576
57.18,2.66875
57.182,2.76561
57.184,2.85937
57.186,2.94384
57.188,3.01435
57.19,3.07014
57.192,3.11276
57.194,3.14608
57.196,3.1732
57.198,3.19878
57.2,3.22357
57.202,3.24914
57.204,3.27317
57.206,3.29176
57.208,3.29874
57.21,3.28944
57.212,3.25999
57.214,3.20653
57.216,3.13059
57.218,3.03527
57.22,2.92756
57.222,2.8152
57.224,2.70749
57.226,2.61373
57.228,2.54166
57.23,2.49672
57.232,2.48122
57.234,2.49285
57.236,2.52849
57.238,2.58196
57.24,2.64627
57.242,2.71369
57.244,2.77956
57.246,2.83845
57.248,2.88882
57.25,2.92911
57.252,2.96088
57.254,2.98568
57.256,3.0066
57.258,3.0252
57.26,3.04225
57.262,3.05697
57.264,3.07014
57.266,3.07789
57.268,3.07789
57.27,3.06937
57.272,3.05
57.274,3.019
57.276,2.97716
57.278,2.92524
57.28,2.86635
57.282,2.80435
57.284,2.74236
57.286,2.68424
57.288,2.63465
57.29,2.59513
57.292,2.56956
57.294,2.55794
57.296,2.56181
57.298,2.57886
57.3,2.6083
57.302,2.64705
57.304,2.69044
57.306,2.73539
57.308,2.77801
57.31,2.81365
57.312,2.84077
57.314,2.85627
57.316,2.85937
57.318,2.8524
57.32,2.83612
57.322,2.81288
57.324,2.78576
57.326,2.75708
57.328,2.72996
57.33,2.70517
57.332,2.68347
57.334,2.6641
57.336,2.64782
57.338,2.63233
57.34,2.61838
57.342,2.60598
57.344,2.59436
57.346,2.58661
57.348,2.58351
57.35,2.58661
57.352,2.59591
57.354,2.6114
57.356,2.63155
57.358,2.6548
57.36,2.67727
57.362,2.69509
57.364,2.70594
57.366,2.70827
57.368,2.70129
57.37,2.68579
57.372,2.66487
57.374,2.64163
57.376,2.61838
57.378,2.59978
57.38,2.58506
57.382,2.57653
57.384,2.57111
57.386,2.56723
57.388,2.56181
57.39,2.55251
57.392,2.53856
57.394,2.52152
57.396,2.50214
57.398,2.4851
57.4,2.47502
57.402,2.47657
57.404,2.49207
57.406,2.52229
57.408,2.56414
57.41,2.61373
57.412,2.66487
57.414,2.70904
57.416,2.74004
57.418,2.75399
57.42,2.74779
57.422,2.72376
57.424,2.68812
57.426,2.64705
57.428,2.61063
57.43,2.58428
57.432,2.57498
57.434,2.58273
57.436,2.60598
57.438,2.63775
57.44,2.66797
57.442,2.68657
57.444,2.68502
57.446,2.65635
57.448,2.59901
57.45,2.51609
57.452,2.41536
57.454,2.30919
57.456,2.21001
57.458,2.13019
57.46,2.0806
57.462,2.06588
57.464,2.08757
57.466,2.14182
57.468,2.21853
57.47,2.30842
57.472,2.39986
57.474,2.48277
57.476,2.54941
57.478,2.59823
57.48,2.62845
57.482,2.64395
57.484,2.65092
57.486,2.6548
57.488,2.66022
57.49,2.67107
57.492,2.68657
57.494,2.70362
57.496,2.71912
57.498,2.72686
57.5,2.72376
57.502,2.70594
57.504,2.67417
57.506,2.63
57.508,2.57886
57.51,2.52694
57.512,2.47967
57.514,2.44325
