 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
0.602,0.323132
0.604,0.324682
0.606,0.327007
0.608,0.329331
0.61,0.331656
0.612,0.334756
0.614,0.337855
0.616,0.34173
0.618,0.344829
0.62,0.348704
0.622,0.351803
0.624,0.355678
0.626,0.358777
0.628,0.361877
0.63,0.365752
0.632,0.369626
0.634,0.373501
0.636,0.377375
0.638,0.382024
0.64,0.385124
0.642,0.388224
0.644,0.391323
0.646,0.393648
0.648,0.395198
0.65,0.396747
0.652,0.399072
0.654,0.401397
0.656,0.403722
0.658,0.407596
0.66,0.411471
0.662,0.41612
0.664,0.421544
0.666,0.426194
0.668,0.430068
0.67,0.434717
0.672,0.437817
0.674,0.440917
0.676,0.444016
0.678,0.446341
0.68,0.44944
0.682,0.453315
0.684,0.457189
0.686,0.461064
0.688,0.464938
0.69,0.468038
0.692,0.471138
0.694,0.472687
0.696,0.473462
0.698,0.474237
0.7,0.473462
0.702,0.473462
0.704,0.473462
0.706,0.474237
0.708,0.476562
0.71,0.478887
0.712,0.482761
0.714,0.486636
0.716,0.489735
0.718,0.492835
0.72,0.495934
0.722,0.497484
0.724,0.498259
0.726,0.498259
0.728,0.498259
0.73,0.499034
0.732,0.499809
0.734,0.501359
0.736,0.502908
0.738,0.506008
0.74,0.508333
0.742,0.510657
0.744,0.512982
0.746,0.515307
0.748,0.516082
0.75,0.517631
0.752,0.518406
0.754,0.519956
0.756,0.522281
0.758,0.52538
0.76,0.52848
0.762,0.533129
0.764,0.537779
0.766,0.543203
0.768,0.547852
0.77,0.551727
0.772,0.555601
0.774,0.558701
0.776,0.561801
0.778,0.564125
0.78,0.568
0.782,0.571874
0.784,0.575749
0.786,0.580398
0.788,0.585822
0.79,0.590472
0.792,0.595121
0.794,0.598996
0.796,0.602095
0.798,0.60442
0.8,0.60597
0.802,0.60752
0.804,0.609069
0.806,0.611394
0.808,0.613719
0.81,0.616043
0.812,0.619143
0.814,0.621468
0.816,0.623792
0.818,0.624567
0.82,0.625342
0.822,0.625342
0.824,0.624567
0.826,0.623017
0.828,0.622243
0.83,0.622243
0.832,0.622243
0.834,0.623792
0.836,0.625342
0.838,0.627667
0.84,0.629992
0.842,0.631541
0.844,0.632316
0.846,0.632316
0.848,0.632316
0.85,0.631541
0.852,0.630767
0.854,0.629992
0.856,0.629992
0.858,0.631541
0.86,0.633866
0.862,0.636966
0.864,0.64084
0.866,0.64394
0.868,0.646264
0.87,0.648589
0.872,0.649364
0.874,0.650139
0.876,0.650139
0.878,0.650139
0.88,0.650139
0.882,0.651689
0.884,0.653239
0.886,0.655563
0.888,0.658663
0.89,0.661762
0.892,0.664087
0.894,0.666412
0.896,0.668736
0.898,0.670286
0.9,0.671061
0.902,0.672611
0.904,0.674936
0.906,0.678035
0.908,0.68191
0.91,0.686559
0.912,0.691983
0.914,0.698183
0.916,0.702832
0.918,0.708256
0.92,0.712131
0.922,0.71523
0.924,0.717555
0.926,0.720655
0.928,0.723754
0.93,0.728404
0.932,0.733828
0.934,0.740802
0.936,0.749326
0.938,0.758625
0.94,0.767923
0.942,0.776447
0.944,0.784971
0.946,0.791945
0.948,0.798144
0.95,0.803569
0.952,0.808993
0.954,0.813642
0.956,0.819841
0.958,0.826041
0.96,0.83379
0.962,0.841539
0.964,0.850062
0.966,0.858586
0.968,0.866335
0.97,0.874084
0.972,0.881058
0.974,0.888032
0.976,0.895006
0.978,0.90353
0.98,0.913604
0.982,0.924453
0.984,0.936851
0.986,0.950024
0.988,0.963972
0.99,0.977146
0.992,0.989544
0.994,1.00039
0.996,1.00892
0.998,1.01667
1,1.02286
1.002,1.02674
1.004,1.03139
1.006,1.03759
1.008,1.04534
1.01,1.05464
1.012,1.06548
1.014,1.07711
1.016,1.08873
1.018,1.10035
1.02,1.1112
1.022,1.12128
1.024,1.13058
1.026,1.1391
1.028,1.14762
1.03,1.15692
1.032,1.167
1.034,1.17862
1.036,1.19102
1.038,1.20419
1.04,1.21659
1.042,1.22821
1.044,1.23829
1.046,1.24603
1.048,1.25223
1.05,1.25611
1.052,1.25921
1.054,1.26153
1.056,1.26463
1.058,1.26928
1.06,1.27471
1.062,1.28168
1.064,1.28943
1.066,1.29795
1.068,1.30648
1.07,1.315
1.072,1.32197
1.074,1.32817
1.076,1.3336
1.078,1.33825
1.08,1.34367
1.082,1.34832
1.084,1.35452
1.086,1.36072
1.088,1.36769
1.09,1.37467
1.092,1.38087
1.094,1.38784
1.096,1.39327
1.098,1.39869
1.1,1.40411
1.102,1.40876
1.104,1.41496
1.106,1.42116
1.108,1.42891
1.11,1.43743
1.112,1.44673
1.114,1.45526
1.116,1.46456
1.118,1.47231
1.12,1.4785
1.122,1.48315
1.124,1.48703
1.126,1.4909
1.128,1.494
1.13,1.49788
1.132,1.5033
1.134,1.5095
1.136,1.51725
1.138,1.52577
1.14,1.53507
1.142,1.5436
1.144,1.55134
1.146,1.55832
1.148,1.56374
1.15,1.56839
1.152,1.57227
1.154,1.57769
1.156,1.58389
1.158,1.59164
1.16,1.60171
1.162,1.61411
1.164,1.62728
1.166,1.64201
1.168,1.65673
1.17,1.67145
